t,x=0.001,x=0.5,x=1
18.900000000000002,-63.23265508037392,-73.37174554225822,-74.87602369862971
19.0,-62.979554930876354,-73.20945585929694,-74.76323870767852
19.1,-62.72575223478684,-73.04349151773158,-74.64608815508014
19.200000000000003,-62.47135374238595,-72.87395530415867,-74.52457810022021
19.3,-62.21646517061623,-72.70095640726197,-74.39872776945762
19.400000000000002,-61.9611926893819,-72.524610323911,-74.26856965422333
19.5,-61.70563479555306,-72.3450385684821,-74.13414949164034
19.6,-61.44988554043994,-72.16236794436794,-73.99552602557351
19.700000000000003,-61.19403658599208,-71.97672998931048,-73.8527698945725
19.8,-60.938180634680016,-71.78826058142684,-73.7059646230128
19.900000000000002,-60.68239817330178,-71.5970997684736,-73.55520802906724
20.0,-60.42676527642742,-71.40339090889381,-73.40060989332166
20.1,-60.17135386837431,-71.20727992007535,-73.24229066830529
20.200000000000003,-59.91623746718168,-71.00891472910243,-73.08038043540923
20.3,-59.66147205777257,-70.80844470731594,-72.91501734619493
20.400000000000002,-59.40710994809217,-70.60601942252043,-72.74634527921305
20.5,-59.1531975815785,-70.40178812639442,-72.57451890133702
20.6,-58.899783399557826,-70.19589954517299,-72.39970165143264
20.700000000000003,-58.64689196246814,-69.98850129287418,-72.22206239198876
20.8,-58.39454583452955,-69.77973817937296,-72.04177342325492
20.900000000000002,-58.14275952362529,-69.56975160646671,-71.85900698354033
21.0,-57.891550818145674,-69.35867918617343,-71.67393384159018
21.1,-57.64090653271168,-69.14665423693339,-71.48673243686297
21.200000000000003,-57.390812678677264,-68.93380434381577,-71.2975837238526
21.3,-57.141244977351626,-68.72025072592434,-71.10666692149204
21.400000000000002,-56.89218400031663,-68.50610816671822,-70.91415567221107
21.5,-56.64357210998065,-68.29148438217263,-70.7202114698398
21.6,-56.395350953982266,-68.07647754886472,-70.52499812162628
21.700000000000003,-56.14744909408215,-67.86117633931359,-70.32868099869587
21.8,-55.899801672294195,-67.64566026669864,-70.13141937855363
21.900000000000002,-55.65229696893819,-67.42999956501302,-69.93336131598119
22.0,-55.404820892130125,-67.21425220896496,-69.7346332661534
22.1,-55.15724315535979,-66.99846275452177,-69.53535897076368
22.200000000000003,-54.90943996974252,-66.78266290872821,-69.33566391994653
22.3,-54.66123131312513,-66.5668721973574,-69.13566414782048
22.400000000000002,-54.41242835983866,-66.35109568565983,-68.9354589475345
22.5,-54.16282077835239,-66.1353217464797,-68.73511575875132
22.6,-53.91220279239112,-65.91952066176663,-68.53469665480456
22.700000000000003,-53.66029701540147,-65.7036454118797,-68.33426665013587
22.8,-53.40680599441558,-65.48763001968324,-68.13387819150994
22.900000000000002,-53.15140051719056,-65.27138761064883,-67.933560524308
23.0,-52.893745663892155,-65.05480758561352,-67.73329855024512
23.1,-52.63340599902757,-64.83775304093207,-67.5330699713743
23.200000000000003,-52.36991279244953,-64.62005690715995,-67.33285637374472
23.3,-52.102738910229405,-64.40152207524976,-67.13262158926851
23.400000000000002,-51.83131789385045,-64.18191743064531,-66.9322964037566
23.5,-51.55493729957238,-63.960970766234404,-66.73174907745184
23.6,-51.27281497292178,-63.73835798271798,-66.53083475716112
23.700000000000003,-50.984064281443864,-63.51370032191612,-66.32940864323697
23.8,-50.687648839318456,-63.28655948758002,-66.12729518518572
23.900000000000002,-50.38232726590613,-63.05642298509626,-65.92426457168035
24.0,-50.06667444750115,-62.82268407382369,-65.71998928112666
24.1,-49.7390347380374,-62.58462381392706,-65.51410974258309
24.200000000000003,-49.397363998766195,-62.34139351469155,-65.30624286720301
24.3,-49.03925432974924,-62.09198336222731,-65.09593409861372
24.400000000000002,-48.661817280033986,-61.83518126929559,-64.8826099802811
24.5,-48.261457888721445,-61.56951840293734,-64.66551428559914
24.6,-47.8338071751635,-61.29320018398335,-64.44380091599302
24.700000000000003,-47.37339171027988,-61.00401937977003,-64.21649326573913
24.8,-46.87332509663747,-60.69923073799191,-63.98238867323071
24.900000000000002,-46.3248377973867,-60.37537541712331,-63.73991501202971
25.0,-45.71659361322541,-60.0280390694507,-63.48710052687701
25.1,-45.033762624570585,-59.65150482608472,-63.22158020817382
25.200000000000003,-44.256659724209804,-59.2382588404853,-62.94033972650215
25.3,-43.35869887671257,-58.77825136158742,-62.63932276476714
25.400000000000002,-42.30341556922347,-58.257749445248486,-62.31321320777917
25.5,-41.03998476245114,-57.657600272382886,-61.95503317849798
25.6,-39.49644021779825,-56.950427584277634,-61.55503415688237
25.700000000000003,-37.569629249275046,-56.096022677739114,-61.09950796646693
25.8,-35.111071498646936,-55.03360284146514,-60.56882092320623
25.900000000000002,-31.909734388719126,-53.66839672482579,-59.933501133565215
26.0,-27.68048973585005,-51.84815309544599,-59.14831150891868
26.1,-22.08951326184999,-49.32220346890589,-58.14083409363712
26.200000000000003,-14.89471843081446,-45.67384686986075,-56.79072750674854
26.3,-6.308485561754026,-40.227331426944545,-54.89041831377338
26.400000000000002,2.5255517716585167,-31.993419767847087,-52.07010437051848
26.5,9.653090119549601,-19.92646677226747,-47.65331207273154
26.6,13.504167498105518,-4.096788292195482,-40.37389812958981
26.700000000000003,13.885509833101318,12.393156212353903,-27.86891445573659
26.8,11.642330061569032,24.393645226147207,-6.782849948921724
26.900000000000002,7.8206201469557595,29.553997602025937,19.63658171313876
27.0,3.2218893644343027,29.363214630805885,34.54888716499488
27.1,-1.6510270303037473,26.301413178598242,36.96338533756081
